pair,query_id,bm25_count,top10_changed,bm25_in_top10,bm25_sample
1:gemma4_default_parser_bm25_on_run01.json,q17,1000,0,1,5521cc23-94a9-5140-9400-ac2261040b42;d2051a19-1275-56ca-b3fc-5d040f73b02d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;9f0766e3-f6fc-57d1-af22-71421a3752a4;0cb47e2a-608c-5e87-99a9-b23dbe4e3673
1:gemma4_default_parser_bm25_on_run01.json,q18,1000,0,0,a44a04aa-52aa-55dd-b939-eafa7f3c4f37;c6be5111-3e99-5a4d-89e9-10b4b0d3d3eb;ef794942-f09e-56c0-bb71-f54e2a76f664;44225536-7c29-5446-99f9-8f3b017df376;1ee71eb5-3137-57b3-9aca-4ce069c1ac50
1:gemma4_default_parser_bm25_on_run01.json,q19,1000,0,1,3fd911fc-d689-5323-9b92-620716abad0f;266a110b-ef30-5605-a96c-740c9d1f8140;04a86ba5-918f-5977-8edc-15e3cbc121f7;60078bef-8306-5b35-8211-b39fbc5d2c71;385c6ff7-266c-5106-b8d4-9bc049588fcf
1:gemma4_default_parser_bm25_on_run01.json,q20,1000,0,0,72f9d2d9-6fa9-56a2-bef4-02c9574a16d2;19d435cd-2bfa-5464-8045-052cb8f11f22;98ed6667-528b-5f91-95a6-d43332f908e2;c7da5861-eceb-557a-89e2-a17ba3dfb9e5;0790cb4c-8fb4-527f-a2a2-2cd64ef4c985
1:gemma4_default_parser_bm25_on_run01.json,q21,1000,0,1,f2459e2b-5aa2-58c1-8279-c21574b758c8;255b1b2a-a923-5199-ac76-20757270f55d;23c98bbc-8e41-5ddd-bb53-66929c6802c5;7400d95e-3489-57ec-ae20-a6f240134c1e;6ccd2b9a-9429-5373-8b36-c2a154d6bf0d
1:gemma4_default_parser_bm25_on_run01.json,q22,1000,0,1,59f93d90-8ef1-5c7e-8fd7-f519554217d2;2fab755a-af40-5d53-92c3-62fe7122ab77;a29221ee-5427-5e33-9482-3e98e65ea174;913254f8-da65-588d-8682-8d0bc18b703f;916f1926-182c-5f51-963e-cb66a00f2ddd
1:gemma4_default_parser_bm25_on_run01.json,q23,1000,0,0,8bb81a74-5f80-5b8b-ab6b-fac982b80b02;97be4486-674b-5a08-8e07-12688a5a7924;255b1b2a-a923-5199-ac76-20757270f55d;f9cc3ca2-e49f-5c8d-be3f-332f14676f85;aa31493b-13a9-5bc0-a730-aa2d38c1361a
1:gemma4_default_parser_bm25_on_run01.json,q24,1000,0,1,ba77fe36-1174-5791-b4de-0d310ba4b323;5dd8a5af-5ad8-59ad-b4fe-15d538eb4c54;c3cb0f89-656f-50dc-9b18-7a21fe9a007a;5c8664f6-ac91-5fcb-81bb-9d8e2cbc496b;018708f8-df10-55b4-bd57-50c56de03650
2:gemma4_default_parser_bm25_on_run02.json,q1,1000,0,1,369fc93c-5f55-5a05-8c77-9ef9e6c35dd3;fe45e7b9-6caf-5d20-a1c6-af4846308910;e304a304-3756-5d0b-ad9f-8763f983c1d2;8bb81a74-5f80-5b8b-ab6b-fac982b80b02;c25181c1-229f-5fd7-ab54-0ea53337ebdd
2:gemma4_default_parser_bm25_on_run02.json,q2,1000,0,1,a5b69bfc-6420-5a59-ab75-79a1e19eeae6;dfaa6612-b1d3-582a-9d8a-340383833168;45af5443-be69-5794-87f8-899511921090;df10996c-3e56-5bb0-8a86-c0e189c6eb6c;fe974300-b9dd-5195-8275-fde930e1bbd3
