run_file,weight_pair,semantic_weight,attribute_weight,bm25_bonus_max,n_queries,mean_ndcg_at_10,mean_avg_at_10,mean_strict_at_10
s3a7_b000_sameparse.json,0.3/0.7,0.3,0.7,0.0,24,0.7113852345489702,2.3208333333333333,5.458333333333333
s3a7_b002_sameparse.json,0.3/0.7,0.3,0.7,0.02,24,0.6947603184162353,2.279166666666667,5.166666666666667
s4a6_b008_sameparse.json,0.4/0.6,0.4,0.6,0.08,24,0.6687717221441702,2.1625,4.75
s4a6_b015_sameparse.json,0.4/0.6,0.4,0.6,0.15,24,0.6684315990313786,2.1625,4.791666666666667
s3a7_b005_sameparse.json,0.3/0.7,0.3,0.7,0.05,24,0.6670114889320311,2.191666666666667,4.666666666666667
s4a6_b020_sameparse.json,0.4/0.6,0.4,0.6,0.2,24,0.6665256680285155,2.1458333333333335,4.75
s4a6_b010_sameparse.json,0.4/0.6,0.4,0.6,0.1,24,0.6647195579601103,2.1458333333333335,4.666666666666667
s3a7_b010_sameparse.json,0.3/0.7,0.3,0.7,0.1,24,0.6639274973854479,2.158333333333333,4.708333333333333
s4a6_b002_sameparse.json,0.4/0.6,0.4,0.6,0.02,24,0.6627700236905691,2.1791666666666667,5.0
s3a7_b008_sameparse.json,0.3/0.7,0.3,0.7,0.08,24,0.6606616399259441,2.158333333333333,4.666666666666667
s3a7_b015_sameparse.json,0.3/0.7,0.3,0.7,0.15,24,0.658958300526811,2.125,4.625
s3a7_b020_sameparse.json,0.3/0.7,0.3,0.7,0.2,24,0.6563192110743395,2.1041666666666665,4.583333333333333
s4a6_b005_sameparse.json,0.4/0.6,0.4,0.6,0.05,24,0.6392590871182144,2.095833333333333,4.541666666666667
s4a6_b000_sameparse.json,0.4/0.6,0.4,0.6,0.0,24,0.5693538823961739,1.875,4.208333333333333
